card_id,set_id,number,name,types,supertype,subtypes,image_url,image_large_url
me4-122,me4,122,Mega Greninja ex,Water,Pokémon,Stage 2 | MEGA | ex,https://images.scrydex.com/pokemon/me4-122/small,https://images.scrydex.com/pokemon/me4-122/large
me4-111,me4,111,Prism Tower,,Trainer,Stadium,https://images.scrydex.com/pokemon/me4-111/small,https://images.scrydex.com/pokemon/me4-111/large
me4-121,me4,121,Roxie's Performance,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-121/small,https://images.scrydex.com/pokemon/me4-121/large
me4-116,me4,116,Mega Greninja ex,Water,Pokémon,Stage 2 | MEGA | ex,https://images.scrydex.com/pokemon/me4-116/small,https://images.scrydex.com/pokemon/me4-116/large
me4-112,me4,112,Roxie's Performance,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-112/small,https://images.scrydex.com/pokemon/me4-112/large
me4-118,me4,118,Mega Dragalge ex,Dragon,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me4-118/small,https://images.scrydex.com/pokemon/me4-118/large
me4-115,me4,115,Tool Scrapper,,Trainer,Item,https://images.scrydex.com/pokemon/me4-115/small,https://images.scrydex.com/pokemon/me4-115/large
me4-114,me4,114,Surfing Beach,,Trainer,Stadium,https://images.scrydex.com/pokemon/me4-114/small,https://images.scrydex.com/pokemon/me4-114/large
me4-120,me4,120,AZ's Tranquility,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-120/small,https://images.scrydex.com/pokemon/me4-120/large
me4-119,me4,119,Cinccino ex,Colorless,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me4-119/small,https://images.scrydex.com/pokemon/me4-119/large
me4-117,me4,117,Mega Floette ex,Psychic,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me4-117/small,https://images.scrydex.com/pokemon/me4-117/large
me4-113,me4,113,Special Red Card,,Trainer,Item,https://images.scrydex.com/pokemon/me4-113/small,https://images.scrydex.com/pokemon/me4-113/large
me4-110,me4,110,Philippe,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-110/small,https://images.scrydex.com/pokemon/me4-110/large
me4-109,me4,109,Jumbo Ice Cream,,Trainer,Item,https://images.scrydex.com/pokemon/me4-109/small,https://images.scrydex.com/pokemon/me4-109/large
me4-108,me4,108,Energy Retrieval,,Trainer,Item,https://images.scrydex.com/pokemon/me4-108/small,https://images.scrydex.com/pokemon/me4-108/large
me4-106,me4,106,AZ's Tranquility,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-106/small,https://images.scrydex.com/pokemon/me4-106/large
